0,Shanghai  China,NA,8,31.245,121.495,10,"Data Version: 4.0 / Type: Timeseries / LatLon Resolution: 0.010 / Time Resolution: 60 minutes / Averaging Method: End of Period / TD: No / Copyright 2010-2025 Clean Power Research®, L.L.C. DownloadID=f322faaf-add9-4279-8d57-6cdc06af4179"
ObservationTime(LST),Global Horizontal Irradiance (GHI) W/m2,Direct Normal Irradiance (DNI) W/m2,AmbientTemperature (deg C),WindSpeed (m/s),Wind Direction (degrees),Wind-Speed 100m (m/s),Wind Direction 100m (degrees),WindGust (m/s),Relative Humidity (%),Liquid Precipitation (kg/m2),Solid Precipitation (kg/m2),Snow Depth (m),Clear Sky GHI,Clear Sky DNI,Clear Sky DHI,IrradianceObservationType,LeadTime,DataVersion,ObservationTime(GMT),Diffuse Horizontal Irradiance (DIF) W/m2,AmbientTemperatureObservationType,WindSpeedObservationType,Albedo,Particulate Matter 10 (µg/m3),Particulate Matter 2.5 (µg/m3)
04/01/2025 01:00,0,0,8,2,98,,,3.5,,0,0,,,,,AN,,SolarAnywhere4_0,03/31/2025 17:00,0,O,O,0.09,,
04/01/2025 02:00,0,0,8,2,71,,,3.3,,0,0,,,,,AN,,SolarAnywhere4_0,03/31/2025 18:00,0,O,O,0.09,,
04/01/2025 03:00,0,0,8,2,67,,,3.1,,0,0,,,,,AN,,SolarAnywhere4_0,03/31/2025 19:00,0,O,O,0.09,,
04/01/2025 04:00,0,0,8,2,53,,,2.8,,0,0,,,,,AN,,SolarAnywhere4_0,03/31/2025 20:00,0,O,O,0.09,,
04/01/2025 05:00,0,0,8,2,47,,,2.9,,0,0,,,,,AN,,SolarAnywhere4_0,03/31/2025 21:00,0,O,O,0.09,,
04/01/2025 06:00,1,0,7,2,56,,,2.8,,0,0,,,,,AD,,SolarAnywhere4_0,03/31/2025 22:00,1,O,O,0.09,,
04/01/2025 07:00,77,43,9,2,55,,,2.8,,0,0,,,,,AD,,SolarAnywhere4_0,03/31/2025 23:00,70,O,O,0.09,,
04/01/2025 08:00,267,207,10,2,50,,,3.8,,0,0,,,,,AD,,SolarAnywhere4_0,04/01/2025 00:00,190,O,O,0.09,,
04/01/2025 09:00,496,407,11,2,61,,,5.1,,0,0,,,,,AD,,SolarAnywhere4_0,04/01/2025 01:00,266,O,O,0.09,,
04/01/2025 10:00,700,565,11,2,52,,,5.8,,0,0,,,,,AD,,SolarAnywhere4_0,04/01/2025 02:00,292,O,O,0.09,,
04/01/2025 11:00,852,690,13,2,49,,,6.6,,0,0,,,,,AD,,SolarAnywhere4_0,04/01/2025 03:00,278,O,O,0.09,,
04/01/2025 12:00,931,756,14,3,61,,,7.2,,0,0,,,,,AD,,SolarAnywhere4_0,04/01/2025 04:00,260,O,O,0.09,,
04/01/2025 13:00,925,740,14,3,72,,,7.4,,0,0,,,,,AD,,SolarAnywhere4_0,04/01/2025 05:00,270,O,O,0.09,,
04/01/2025 14:00,838,674,14,3,70,,,7.5,,0,0,,,,,AD,,SolarAnywhere4_0,04/01/2025 06:00,281,O,O,0.09,,
04/01/2025 15:00,695,614,14,3,79,,,7.7,,0,0,,,,,AD,,SolarAnywhere4_0,04/01/2025 07:00,257,O,O,0.09,,
04/01/2025 16:00,514,532,14,3,84,,,7.6,,0,0,,,,,AD,,SolarAnywhere4_0,04/01/2025 08:00,219,O,O,0.09,,
04/01/2025 17:00,294,323,13,3,84,,,7.3,,0,0,,,,,AD,,SolarAnywhere4_0,04/01/2025 09:00,177,O,O,0.09,,
04/01/2025 18:00,81,76,12,3,88,,,6.8,,0,0,,,,,AD,,SolarAnywhere4_0,04/01/2025 10:00,70,O,O,0.09,,
04/01/2025 19:00,2,0,10,3,101,,,5.4,,0,0,,,,,AD,,SolarAnywhere4_0,04/01/2025 11:00,2,O,O,0.09,,
04/01/2025 20:00,0,0,10,2,113,,,4.1,,0,0,,,,,AN,,SolarAnywhere4_0,04/01/2025 12:00,0,O,O,0.09,,
04/01/2025 21:00,0,0,10,2,113,,,3.7,,0,0,,,,,AN,,SolarAnywhere4_0,04/01/2025 13:00,0,O,O,0.09,,
04/01/2025 22:00,0,0,8,2,115,,,3.4,,0,0,,,,,AN,,SolarAnywhere4_0,04/01/2025 14:00,0,O,O,0.09,,
04/01/2025 23:00,0,0,8,2,117,,,3.3,,0,0,,,,,AN,,SolarAnywhere4_0,04/01/2025 15:00,0,O,O,0.09,,
04/02/2025 00:00,0,0,8,2,132,,,3.2,,0,0,,,,,AN,,SolarAnywhere4_0,04/01/2025 16:00,0,O,O,0.09,,
04/02/2025 01:00,0,0,7,2,151,,,3.4,,0,0,,,,,AN,,SolarAnywhere4_0,04/01/2025 17:00,0,O,O,0.09,,
04/02/2025 02:00,0,0,7,2,168,,,3.5,,0,0,,,,,AN,,SolarAnywhere4_0,04/01/2025 18:00,0,O,O,0.09,,
04/02/2025 03:00,0,0,7,2,179,,,3.7,,0,0,,,,,AN,,SolarAnywhere4_0,04/01/2025 19:00,0,O,O,0.09,,
04/02/2025 04:00,0,0,6,2,195,,,3.8,,0,0,,,,,AN,,SolarAnywhere4_0,04/01/2025 20:00,0,O,O,0.09,,
04/02/2025 05:00,0,0,6,2,213,,,3.7,,0,0,,,,,AN,,SolarAnywhere4_0,04/01/2025 21:00,0,O,O,0.09,,
04/02/2025 06:00,4,0,7,2,211,,,3.9,,0,0,,,,,AD,,SolarAnywhere4_0,04/01/2025 22:00,4,O,O,0.09,,
04/02/2025 07:00,90,87,9,2,210,,,4.1,,0,0,,,,,AD,,SolarAnywhere4_0,04/01/2025 23:00,76,O,O,0.09,,
04/02/2025 08:00,324,373,10,2,207,,,4.4,,0,0,,,,,AD,,SolarAnywhere4_0,04/02/2025 00:00,183,O,O,0.09,,
04/02/2025 09:00,548,596,10,2,198,,,4.9,,0,0,,,,,AD,,SolarAnywhere4_0,04/02/2025 01:00,208,O,O,0.09,,
04/02/2025 10:00,735,692,12,3,191,,,5.3,,0,0,,,,,AD,,SolarAnywhere4_0,04/02/2025 02:00,233,O,O,0.09,,
04/02/2025 11:00,887,766,16,3,196,,,6.1,,0,0,,,,,AD,,SolarAnywhere4_0,04/02/2025 03:00,247,O,O,0.09,,
04/02/2025 12:00,947,776,17,3,210,,,6.9,,0,0,,,,,AD,,SolarAnywhere4_0,04/02/2025 04:00,256,O,O,0.09,,
04/02/2025 13:00,924,701,18,3,220,,,7.5,,0,0,,,,,AD,,SolarAnywhere4_0,04/02/2025 05:00,301,O,O,0.09,,
04/02/2025 14:00,816,577,20,3,227,,,8.1,,0,0,,,,,AD,,SolarAnywhere4_0,04/02/2025 06:00,338,O,O,0.09,,
04/02/2025 15:00,640,429,21,3,238,,,7.7,,0,0,,,,,AD,,SolarAnywhere4_0,04/02/2025 07:00,333,O,O,0.09,,
04/02/2025 16:00,405,222,20,2,257,,,7.1,,0,0,,,,,AD,,SolarAnywhere4_0,04/02/2025 08:00,281,O,O,0.09,,
04/02/2025 17:00,174,46,20,2,271,,,6.9,,0,0,,,,,AD,,SolarAnywhere4_0,04/02/2025 09:00,157,O,O,0.09,,
04/02/2025 18:00,47,0,17,3,3,,,8,,0,0,,,,,AD,,SolarAnywhere4_0,04/02/2025 10:00,47,O,O,0.09,,
04/02/2025 19:00,1,0,14,5,19,,,9.8,,0,0,,,,,AD,,SolarAnywhere4_0,04/02/2025 11:00,1,O,O,0.09,,
04/02/2025 20:00,0,0,12,6,25,,,10.5,,0,0,,,,,AN,,SolarAnywhere4_0,04/02/2025 12:00,0,O,O,0.09,,
04/02/2025 21:00,0,0,12,5,29,,,9.7,,0,0,,,,,AN,,SolarAnywhere4_0,04/02/2025 13:00,0,O,O,0.09,,
04/02/2025 22:00,0,0,12,4,33,,,8.4,,0,0,,,,,AN,,SolarAnywhere4_0,04/02/2025 14:00,0,O,O,0.09,,
